Country,Continent,ISO_Code,Level,GDLCODE,Region,2019,2020
India,Asia/Pacific,IND,National,INDt,Total,8.788,8.714
India,Asia/Pacific,IND,Subnat,INDr136,Andaman and Nicobar Islands,9.272,9.195
India,Asia/Pacific,IND,Subnat,INDr101,Andhra Pradesh,8.967,8.892
India,Asia/Pacific,IND,Subnat,INDr125,Arunachal Pradesh,9.004,8.929
India,Asia/Pacific,IND,Subnat,INDr102,Assam,8.331,8.262
India,Asia/Pacific,IND,Subnat,INDr103,Bihar,8.198,8.13
India,Asia/Pacific,IND,Subnat,INDr131,Chandigarth,9.569,9.489
India,Asia/Pacific,IND,Subnat,INDr129,Chhattisgarh,8.63,8.558
India,Asia/Pacific,IND,Subnat,INDr132,Dadra and Nagar Haveli,8.66,8.588
India,Asia/Pacific,IND,Subnat,INDr134,Daman and Diu,9.065,8.989
India,Asia/Pacific,IND,Subnat,INDr104,Goa,9.579,9.499
India,Asia/Pacific,IND,Subnat,INDr105,Gujarat,9.031,8.956
India,Asia/Pacific,IND,Subnat,INDr106,Haryana,9.319,9.241
India,Asia/Pacific,IND,Subnat,INDr107,Himachal Pradesh,9.293,9.215
India,Asia/Pacific,IND,Subnat,INDr108,Jammu and Kashmir,9.208,9.131
India,Asia/Pacific,IND,Subnat,INDr128,Jharkhand,8.29,8.221
India,Asia/Pacific,IND,Subnat,INDr109,Karnataka,9.052,8.976
India,Asia/Pacific,IND,Subnat,INDr110,Kerala,9.338,9.26
India,Asia/Pacific,IND,Subnat,INDr135,Lakshadweep,9.35,9.272
India,Asia/Pacific,IND,Subnat,INDr111,Madhya Pradesh,8.572,8.5
India,Asia/Pacific,IND,Subnat,INDr112,Maharashtra,9.071,8.996
India,Asia/Pacific,IND,Subnat,INDr113,Manipur,8.614,8.542
India,Asia/Pacific,IND,Subnat,INDr114,Meghalaya,8.679,8.606
India,Asia/Pacific,IND,Subnat,INDr115,Mizoram,9.265,9.188
India,Asia/Pacific,IND,Subnat,INDr116,Nagaland,8.829,8.755
India,Asia/Pacific,IND,Subnat,INDr124,New Delhi,9.454,9.375
India,Asia/Pacific,IND,Subnat,INDr117,Orissa,8.487,8.416
India,Asia/Pacific,IND,Subnat,INDr133,Puducherry,9.393,9.314
India,Asia/Pacific,IND,Subnat,INDr118,Punjab,9.426,9.347
India,Asia/Pacific,IND,Subnat,INDr119,Rajasthan,8.968,8.893
India,Asia/Pacific,IND,Subnat,INDr120,Sikkim,9.123,9.046
India,Asia/Pacific,IND,Subnat,INDr121,Tamil Nadu,9.041,8.966
India,Asia/Pacific,IND,Subnat,INDr130,Telangana,9.017,8.941
India,Asia/Pacific,IND,Subnat,INDr126,Tripura,8.481,8.41
India,Asia/Pacific,IND,Subnat,INDr123,Uttar Pradesh,8.514,8.443
India,Asia/Pacific,IND,Subnat,INDr127,Uttaranchal,9.087,9.011
India,Asia/Pacific,IND,Subnat,INDr122,West Bengal,8.562,8.49
